feature,gain,weight,cover
rain_3d,1013.7233276367188,54.0,14353.75
doy,714.2415771484375,166.0,19095.32421875
clim_dryday_doy,681.6002197265625,21.0,26678.578125
olr_merid_anom_5d,625.87646484375,43.0,17059.958984375
days_since_rain,505.8707275390625,33.0,24606.791015625
clim_onset_doy,371.5470275878906,100.0,21471.154296875
wet_spell_today,337.6994934082031,22.0,23344.99609375
rain_1d,312.6199035644531,29.0,30332.376953125
mjo_phase,308.63592529296875,29.0,12475.5869140625
clim_false_rate,307.24688720703125,54.0,13262.19921875
spell_deficit,306.45318603515625,57.0,16570.8046875
wf_shear_anom_15d,300.1160583496094,72.0,13346.5517578125
trough_slp_anom_5d,294.2521667480469,38.0,17082.880859375
olr_eio_anom_5d,254.567138671875,39.0,11562.396484375
rmm2,251.57415771484375,61.0,13936.013671875
onset_doy_anom,232.837646484375,115.0,19577.408203125
clim_rain_doy,227.3121795654297,20.0,32106.05859375
wf_shear_anom_5d,214.32574462890625,39.0,16060.90234375
olr_merid_anom_15d,207.8433837890625,58.0,11177.978515625
trough_slp_tend10,186.7824249267578,32.0,19180.263671875
mjo_amp_15d,180.24513244628906,87.0,25626.439453125
wet_spell_seen,166.68887329101562,5.0,7477.98291015625
olr_bob_tend10,158.71214294433594,26.0,26551.0546875
days_since_wet_spell,150.84950256347656,59.0,13177.3876953125
mjo_cos,148.0365753173828,49.0,13761.95703125
olr_merid_tend10,148.00010681152344,28.0,8060.24755859375
mjo_amp,147.4576416015625,27.0,7016.49609375
tt_grad_anom_15d,140.1055908203125,108.0,13764.9482421875
llj_u850_anom_5d,139.77249145507812,28.0,12028.859375
clim_first_cand_doy,135.29006958007812,127.0,18182.333984375
trough_slp_anom_15d,129.39761352539062,72.0,16947.892578125
rmm1_tend10,128.28533935546875,70.0,15713.6591796875
wy_shear_anom_15d,125.02958679199219,77.0,14039.810546875
mjo_sin_valid_14d,124.70475769042969,20.0,30506.740234375
olr_kar_anom_15d,122.99864959716797,70.0,22575.78125
olr_kar_anom_5d,122.82089233398438,25.0,10608.19921875
wet_days_30d,121.4032974243164,75.0,11350.3046875
rmm1,121.28142547607422,45.0,10559.3310546875
olr_eio_anom_15d,119.77388763427734,69.0,20274.923828125
llj_u850_anom_15d,115.5465316772461,86.0,9965.697265625
v850_bob_anom_15d,113.968505859375,65.0,16236.5234375
tt_grad_tend10,111.05020141601562,36.0,14612.0849609375
v850_bob_anom_5d,109.8680419921875,18.0,9007.146484375
rain_30d,108.55924224853516,60.0,7673.3056640625
olr_bob_anom_5d,105.91520690917969,41.0,23154.87109375
wy_shear_tend10,104.7413558959961,29.0,15121.017578125
mjo_sin,101.10963439941406,35.0,10485.3486328125
rain_14d,99.07598114013672,32.0,31494.84765625
wy_shear_anom_5d,98.13896179199219,42.0,10063.525390625
wf_shear_tend10,97.83684539794922,29.0,11184.4619140625
olr_eio_tend10,96.4832534790039,39.0,9152.6962890625
reg_dry,95.89915466308594,60.0,11816.4677734375
reg_rain_7d,95.63536071777344,45.0,11351.578125
olr_bob_anom_15d,92.68728637695312,64.0,7838.48193359375
llj_u850_tend10,88.07864379882812,42.0,29009.068359375
olr_kar_tend10,87.29448699951172,26.0,13292.5791015625
tt_grad_anom_5d,84.76029968261719,50.0,10720.474609375
mjo_angvel10,84.03553771972656,47.0,11579.3779296875
v850_bob_tend10,78.61775970458984,32.0,16672.86328125
rmm2_tend10,76.3755874633789,42.0,17081.326171875
rain_7d_vs_region,57.27427291870117,43.0,10657.98828125
mjo_cos_valid_14d,55.59133529663086,7.0,2714.159423828125
rain_7d,32.70435333251953,33.0,3377.021240234375
mjo_inactive,0.0,0.0,0.0
