feature,gain,weight,cover
clim_dryday_doy,7663.52001953125,26.0,88930.7109375
clim_false_rate,2650.5859375,37.0,86561.4765625
clim_first_cand_doy,1387.144287109375,75.0,59741.40625
clim_rain_doy,1364.177490234375,20.0,67474.453125
onset_doy_anom,1094.13818359375,57.0,47834.7265625
rmm1_tend10,1015.346435546875,32.0,72755.9609375
wet_days_30d,985.8561401367188,39.0,80757.046875
doy,887.7202758789062,98.0,51357.21484375
mjo_cos,717.132568359375,26.0,34061.69140625
llj_u850_anom_5d,712.1096801757812,19.0,55151.67578125
rmm1,637.8548583984375,35.0,25632.19140625
tt_grad_anom_15d,619.503662109375,49.0,61126.01953125
mjo_angvel10,564.9645385742188,23.0,50236.65625
rmm2,542.8815307617188,50.0,36435.02734375
reg_dry,468.1914367675781,22.0,44930.16796875
llj_u850_anom_15d,466.1120300292969,39.0,30420.986328125
mjo_amp_15d,463.0059814453125,57.0,53575.12109375
wf_shear_anom_15d,458.6282653808594,42.0,36344.7421875
wy_shear_tend10,455.3451843261719,24.0,57331.20703125
v850_bob_anom_5d,452.63446044921875,8.0,33667.0078125
clim_onset_doy,446.6741943359375,47.0,43444.50390625
mjo_amp,408.7622985839844,15.0,24677.302734375
tt_grad_tend10,400.9496765136719,13.0,14560.3017578125
reg_rain_7d,399.39306640625,35.0,51190.19921875
olr_eio_anom_5d,392.3658447265625,18.0,33912.421875
olr_eio_anom_15d,388.6824645996094,39.0,63185.890625
llj_u850_tend10,384.8642272949219,12.0,4792.89013671875
trough_slp_tend10,380.2200927734375,18.0,22255.26953125
trough_slp_anom_15d,378.09033203125,41.0,38356.453125
olr_kar_anom_15d,374.1784973144531,30.0,76168.2109375
wf_shear_anom_5d,368.67474365234375,18.0,16210.51171875
wy_shear_anom_5d,356.6134033203125,15.0,67188.5546875
v850_bob_anom_15d,337.9457092285156,30.0,56438.5078125
rmm2_tend10,325.2508239746094,19.0,42117.453125
wy_shear_anom_15d,325.15997314453125,44.0,47155.046875
trough_slp_anom_5d,300.0426330566406,25.0,72904.078125
tt_grad_anom_5d,295.91357421875,27.0,22252.595703125
olr_kar_tend10,295.70989990234375,15.0,73191.1640625
olr_bob_tend10,289.4405517578125,11.0,75580.0
olr_merid_anom_15d,285.1399841308594,21.0,27634.06640625
mjo_sin,282.2420349121094,20.0,30804.109375
olr_kar_anom_5d,279.3887939453125,9.0,22187.7578125
rain_30d,269.6263427734375,28.0,39538.83203125
v850_bob_tend10,269.1822204589844,16.0,34581.359375
olr_merid_anom_5d,267.51751708984375,13.0,31844.052734375
olr_eio_tend10,261.0213623046875,17.0,34558.84765625
olr_bob_anom_15d,257.09625244140625,35.0,46389.58984375
wf_shear_tend10,252.57321166992188,17.0,45220.98828125
olr_bob_anom_5d,227.69754028320312,14.0,61395.19921875
rain_7d_vs_region,221.5153350830078,20.0,9358.685546875
mjo_phase,207.8910675048828,11.0,8048.3017578125
rain_1d,197.7921142578125,4.0,75225.609375
rain_14d,194.0994415283203,17.0,23375.6328125
olr_merid_tend10,178.9943389892578,8.0,19988.1640625
rain_7d,166.03480529785156,10.0,25728.5390625
mjo_sin_valid_28d,141.23194885253906,8.0,28347.125
days_since_wet_spell,130.2812957763672,23.0,16131.9814453125
wet_spell_seen,118.8504867553711,10.0,28188.54296875
days_since_rain,98.59111022949219,8.0,43254.2265625
spell_deficit,94.04444122314453,12.0,2711.332275390625
mjo_cos_valid_28d,70.07589721679688,3.0,811.781494140625
rain_3d,61.415191650390625,2.0,77579.0
mjo_inactive,34.13364791870117,1.0,621.3925170898438
wet_spell_today,0.0,0.0,0.0
