feature,gain,weight,cover
clim_dryday_doy,2784.68212890625,40.0,54170.0390625
clim_false_rate,1805.348876953125,31.0,56691.94140625
clim_first_cand_doy,1294.9521484375,42.0,36356.03515625
rain_7d_vs_region,1162.5626220703125,24.0,19116.31640625
olr_eio_anom_5d,1141.3046875,27.0,45820.44921875
llj_u850_anom_5d,1039.8260498046875,27.0,25277.525390625
wet_days_30d,995.0568237304688,35.0,64145.578125
rain_30d,935.0708618164062,13.0,24131.81640625
wf_shear_anom_5d,919.449951171875,18.0,19825.5078125
mjo_phase,899.5078735351562,31.0,36704.59765625
clim_rain_doy,846.6903076171875,21.0,50808.66015625
olr_merid_anom_5d,811.0278930664062,35.0,46798.5625
onset_doy_anom,796.578857421875,63.0,31390.72265625
rmm2,771.2716064453125,36.0,33782.37109375
mjo_cos,693.3612670898438,14.0,35369.8984375
rain_1d,687.2680053710938,4.0,78037.890625
mjo_sin,631.2523803710938,13.0,10876.421875
rmm1,601.756103515625,34.0,31250.86328125
clim_onset_doy,509.8321228027344,45.0,42060.08984375
wf_shear_anom_15d,507.1903381347656,57.0,25527.74609375
llj_u850_anom_15d,483.71844482421875,39.0,34998.4609375
doy,455.0094299316406,104.0,30354.998046875
mjo_amp_15d,418.2625732421875,68.0,37779.546875
olr_eio_anom_15d,400.58319091796875,40.0,52900.76171875
trough_slp_anom_15d,348.7386779785156,55.0,43618.25
trough_slp_anom_5d,348.2705078125,29.0,50155.9609375
reg_rain_7d,333.5797424316406,34.0,25706.701171875
days_since_rain,312.208740234375,10.0,47875.67578125
mjo_sin_valid_7d,300.0150146484375,22.0,43545.67578125
olr_merid_anom_15d,283.28131103515625,19.0,22765.494140625
olr_bob_anom_15d,277.5726318359375,19.0,33329.64453125
rmm2_tend10,275.9630432128906,20.0,17939.916015625
olr_bob_tend10,273.7314453125,15.0,51820.359375
olr_merid_tend10,272.93597412109375,15.0,36085.98828125
wy_shear_anom_5d,257.3924865722656,29.0,27116.1015625
tt_grad_anom_5d,256.29376220703125,26.0,31477.552734375
tt_grad_tend10,255.41311645507812,39.0,34978.26171875
wy_shear_anom_15d,245.1586151123047,42.0,30942.43359375
mjo_angvel10,241.27003479003906,16.0,17905.95703125
v850_bob_anom_15d,239.73594665527344,48.0,34354.06640625
trough_slp_tend10,235.2313232421875,27.0,37621.2578125
llj_u850_tend10,230.25120544433594,11.0,23183.171875
olr_kar_tend10,217.71006774902344,19.0,21823.337890625
v850_bob_tend10,217.0762481689453,19.0,44982.609375
wf_shear_tend10,213.80587768554688,13.0,28188.47265625
rmm1_tend10,213.69749450683594,39.0,16792.021484375
wy_shear_tend10,213.0224151611328,24.0,23879.65625
tt_grad_anom_15d,211.27491760253906,50.0,34851.74609375
mjo_inactive,207.0782470703125,3.0,5933.98828125
olr_kar_anom_15d,199.18136596679688,28.0,42427.56640625
olr_kar_anom_5d,195.01182556152344,15.0,27923.576171875
mjo_amp,193.3192138671875,23.0,24116.126953125
olr_eio_tend10,188.88931274414062,16.0,42198.7109375
reg_dry,183.35020446777344,36.0,19745.115234375
wet_spell_seen,172.97364807128906,4.0,12832.72265625
rain_14d,143.57972717285156,15.0,26585.0234375
days_since_wet_spell,134.64996337890625,16.0,10098.48828125
olr_bob_anom_5d,119.44122314453125,10.0,27640.890625
mjo_cos_valid_7d,111.89608764648438,3.0,4759.7490234375
rain_7d,109.57148742675781,13.0,8636.439453125
rain_3d,109.05194854736328,8.0,26264.3203125
spell_deficit,108.81915283203125,6.0,25265.529296875
wet_spell_today,72.64775085449219,1.0,4717.39990234375
v850_bob_anom_5d,53.78329086303711,9.0,25848.98828125
