feature,gain,weight,cover
wet_spell_today,12322.36328125,30.0,88922.59375
rain_3d,3975.516845703125,84.0,42727.56640625
clim_dryday_doy,1906.6566162109375,47.0,81400.0
wet_spell_seen,1667.4046630859375,12.0,18388.291015625
wet_days_30d,1581.4091796875,84.0,36529.0078125
onset_doy_anom,1177.8809814453125,168.0,25382.109375
rain_1d,1110.4749755859375,44.0,50021.06640625
clim_false_rate,1029.4501953125,114.0,27329.06640625
clim_first_cand_doy,849.3992919921875,182.0,29173.755859375
rmm1_tend10,754.560546875,73.0,36279.234375
rmm1,638.897705078125,59.0,13598.015625
mjo_phase,616.8207397460938,40.0,30045.603515625
doy,561.4794311523438,204.0,16941.1796875
wf_shear_anom_15d,527.8294677734375,89.0,33054.10546875
mjo_angvel10,527.557373046875,63.0,39634.90234375
olr_eio_tend10,525.89453125,34.0,8294.728515625
rain_7d_vs_region,516.856689453125,34.0,14135.064453125
mjo_cos,492.2046203613281,44.0,13979.353515625
rmm2_tend10,452.60302734375,33.0,26958.03125
llj_u850_anom_5d,424.97332763671875,47.0,5811.5068359375
ecmwf_mean_mm_28d,382.365478515625,34.0,71490.5625
wy_shear_tend10,380.111083984375,42.0,32203.853515625
days_since_rain,374.8648681640625,82.0,27910.177734375
olr_merid_anom_5d,374.8410949707031,35.0,12495.1650390625
reg_rain_7d,364.20440673828125,66.0,10700.517578125
wf_shear_anom_5d,361.48785400390625,43.0,28492.572265625
mjo_amp,353.5341796875,29.0,12026.966796875
wf_shear_tend10,335.32781982421875,33.0,41350.640625
rmm2,333.79937744140625,56.0,11251.5224609375
olr_eio_anom_5d,332.1476135253906,56.0,25555.720703125
rain_30d,320.00494384765625,82.0,16935.814453125
clim_rain_doy,318.715087890625,46.0,38025.36328125
v850_bob_anom_15d,305.101806640625,98.0,17497.93359375
olr_bob_anom_15d,288.5789794921875,59.0,22882.357421875
trough_slp_anom_5d,288.33154296875,48.0,28075.9921875
llj_u850_anom_15d,285.07037353515625,92.0,16233.990234375
mjo_amp_15d,281.694091796875,105.0,26829.865234375
wy_shear_anom_15d,276.9543151855469,81.0,13382.1376953125
tt_grad_anom_15d,269.51580810546875,116.0,20449.029296875
trough_slp_anom_15d,263.8043212890625,74.0,28798.287109375
tt_grad_anom_5d,254.43186950683594,59.0,30867.423828125
olr_bob_tend10,247.6603240966797,41.0,30209.515625
days_since_wet_spell,242.22970581054688,82.0,9253.8544921875
mjo_sin,238.95628356933594,31.0,9858.3291015625
tt_grad_tend10,236.7176513671875,41.0,14210.8642578125
olr_kar_anom_5d,232.52584838867188,34.0,15053.0576171875
reg_dry,222.1754608154297,68.0,15896.90625
olr_merid_tend10,216.3772430419922,33.0,13208.3212890625
olr_kar_anom_15d,212.01040649414062,33.0,13807.404296875
llj_u850_tend10,209.49021911621094,29.0,3410.478515625
olr_eio_anom_15d,206.51368713378906,47.0,21010.955078125
trough_slp_tend10,206.49217224121094,47.0,8069.80126953125
olr_merid_anom_15d,199.07786560058594,49.0,12038.4716796875
wy_shear_anom_5d,194.2086181640625,50.0,15974.4462890625
spell_deficit,191.985107421875,79.0,23354.7109375
olr_bob_anom_5d,180.9534149169922,33.0,42552.03515625
mjo_sin_valid_28d,180.73233032226562,13.0,45653.10546875
v850_bob_anom_5d,180.5603485107422,37.0,4080.524169921875
clim_onset_doy,172.16195678710938,122.0,15970.349609375
ecmwf_std_mm_28d,156.2296600341797,17.0,37300.96875
olr_kar_tend10,151.9459228515625,21.0,12348.4150390625
v850_bob_tend10,143.37179565429688,30.0,5815.40185546875
rain_7d,93.4137191772461,25.0,1921.3472900390625
rain_14d,88.5129165649414,33.0,2151.11474609375
ecmwf_mean_mm_14d,77.54640197753906,10.0,40600.44921875
mjo_cos_valid_28d,66.77435302734375,8.0,1168.41650390625
ecmwf_std_mm_21d,66.00975799560547,7.0,1436.955322265625
ecmwf_mean_mm_21d,36.97098922729492,14.0,13629.689453125
ecmwf_std_mm_7d,32.833526611328125,2.0,321.0121154785156
ecmwf_mean_mm_7d,14.888141632080078,6.0,314.1691589355469
ecmwf_std_mm_14d,14.3514404296875,3.0,620.9217529296875
mjo_inactive,0.0,0.0,0.0
