feature,gain,weight,cover
clim_dryday_doy,7219.08544921875,24.0,88165.6640625
clim_false_rate,2080.169189453125,40.0,73085.6640625
clim_first_cand_doy,1494.0765380859375,62.0,52648.5703125
clim_rain_doy,1434.7030029296875,13.0,75097.3828125
mjo_cos,1326.2103271484375,14.0,47607.69921875
mjo_phase,1142.96923828125,13.0,42843.0390625
wet_days_30d,1108.404296875,37.0,83471.71875
rmm1_tend10,1086.945068359375,28.0,57981.73828125
onset_doy_anom,897.7333374023438,74.0,32516.046875
rmm1,806.7017822265625,37.0,41478.56640625
wf_shear_anom_5d,768.3103637695312,18.0,28513.0703125
llj_u850_anom_5d,744.6889038085938,16.0,32534.37890625
doy,704.8995361328125,89.0,49823.296875
mjo_sin_valid_21d,698.3711547851562,4.0,13670.716796875
rmm2,625.3351440429688,42.0,44227.328125
mjo_angvel10,597.6931762695312,22.0,57310.671875
wy_shear_tend10,521.1832885742188,17.0,61174.6484375
mjo_amp_15d,506.8781433105469,49.0,50130.8671875
tt_grad_tend10,506.8487548828125,16.0,24640.43359375
olr_eio_anom_5d,484.3953552246094,25.0,33251.94140625
v850_bob_anom_15d,476.5974426269531,38.0,57417.63671875
rmm2_tend10,466.4333190917969,15.0,43585.890625
tt_grad_anom_15d,432.864990234375,51.0,33983.96875
wy_shear_anom_5d,428.4353942871094,19.0,39621.6484375
olr_eio_anom_15d,425.81072998046875,37.0,37646.51953125
clim_onset_doy,422.7097473144531,58.0,50007.4296875
trough_slp_tend10,421.7637023925781,15.0,29712.482421875
llj_u850_tend10,418.6702880859375,8.0,16866.904296875
mjo_sin,403.0807800292969,14.0,19382.111328125
reg_rain_7d,391.6311340332031,41.0,42904.1484375
wf_shear_anom_15d,383.01214599609375,47.0,27046.095703125
llj_u850_anom_15d,377.34527587890625,53.0,22145.802734375
olr_bob_tend10,374.38214111328125,10.0,42733.15625
olr_eio_tend10,370.2228088378906,10.0,25829.62109375
wy_shear_anom_15d,359.8186950683594,46.0,65215.81640625
wf_shear_tend10,337.22607421875,15.0,34363.1640625
olr_merid_anom_15d,324.54376220703125,22.0,26662.13671875
v850_bob_anom_5d,314.9004821777344,6.0,22158.408203125
olr_bob_anom_5d,314.1653137207031,13.0,35219.02734375
trough_slp_anom_5d,313.9079895019531,20.0,41895.1953125
olr_kar_anom_15d,311.80828857421875,22.0,72713.6796875
trough_slp_anom_15d,306.572265625,37.0,40959.71484375
mjo_amp,294.0287780761719,13.0,34410.80859375
olr_merid_anom_5d,292.6241760253906,9.0,43426.796875
rain_30d,291.1027526855469,31.0,22115.130859375
tt_grad_anom_5d,275.3815002441406,19.0,37701.24609375
olr_bob_anom_15d,262.31829833984375,30.0,46843.89453125
olr_merid_tend10,255.9479217529297,12.0,8398.9482421875
reg_dry,238.03245544433594,23.0,26660.578125
v850_bob_tend10,220.69786071777344,11.0,16976.201171875
olr_kar_tend10,175.7260284423828,7.0,54416.90234375
mjo_cos_valid_21d,175.6645965576172,6.0,64897.93359375
rain_14d,163.43215942382812,11.0,57777.99609375
rain_7d_vs_region,150.562744140625,14.0,22361.64453125
rain_1d,150.41238403320312,2.0,25252.580078125
days_since_rain,142.1684112548828,7.0,62234.7109375
olr_kar_anom_5d,136.4759979248047,9.0,17971.126953125
days_since_wet_spell,132.8030242919922,15.0,16303.998046875
spell_deficit,116.0314712524414,7.0,5159.03466796875
rain_3d,112.18741607666016,2.0,33979.83203125
wet_spell_seen,79.07083892822266,7.0,7303.7861328125
rain_7d,64.85995483398438,11.0,2953.150146484375
wet_spell_today,0.0,0.0,0.0
mjo_inactive,0.0,0.0,0.0
