feature,gain,weight,cover
wet_spell_today,6621.8427734375,139.0,38023.12890625
rain_3d,5000.92529296875,520.0,22635.763671875
days_since_rain,578.2747802734375,306.0,14103.12109375
trough_slp_anom_5d,468.9664306640625,355.0,9712.0048828125
clim_dryday_doy,436.7577209472656,195.0,18469.546875
rain_1d,398.6980285644531,426.0,15142.6162109375
olr_merid_anom_5d,285.36187744140625,216.0,11070.654296875
olr_eio_anom_15d,241.3096466064453,409.0,7618.9970703125
days_since_wet_spell,229.47457885742188,296.0,9316.8642578125
ecmwf_mean_mm_7d,228.8229217529297,369.0,20138.802734375
clim_rain_doy,227.6426544189453,256.0,14338.435546875
trough_slp_tend10,212.37644958496094,280.0,15366.5966796875
clim_false_rate,209.01654052734375,242.0,11635.9716796875
olr_merid_anom_15d,196.22666931152344,293.0,12297.001953125
rain_7d_vs_region,195.88706970214844,233.0,11752.197265625
doy,170.37525939941406,833.0,6762.86962890625
clim_first_cand_doy,162.5182647705078,638.0,14354.80859375
mjo_sin,158.57237243652344,154.0,6571.5380859375
ecmwf_std_mm_7d,147.91326904296875,88.0,13742.3212890625
rmm2,145.0244140625,243.0,11058.30078125
wf_shear_anom_15d,141.96583557128906,289.0,7038.994140625
reg_dry,138.44529724121094,349.0,9109.1123046875
wf_shear_anom_5d,131.62893676757812,316.0,9491.431640625
olr_eio_anom_5d,129.6835174560547,167.0,4722.6240234375
onset_doy_anom,121.84785461425781,617.0,7124.943359375
spell_deficit,112.04914093017578,561.0,11039.71875
rmm1_tend10,112.00016784667969,366.0,7279.10791015625
olr_kar_anom_5d,98.8335952758789,240.0,5800.220703125
mjo_phase,96.42879486083984,113.0,4508.16357421875
wf_shear_tend10,96.40513610839844,235.0,5456.45703125
wy_shear_anom_5d,94.2533187866211,229.0,8253.0595703125
llj_u850_anom_15d,91.67762756347656,224.0,10185.6484375
tt_grad_anom_15d,91.18643951416016,279.0,6633.51025390625
mjo_angvel10,90.69612884521484,241.0,10112.2431640625
clim_onset_doy,89.15740203857422,481.0,8507.8525390625
tt_grad_anom_5d,88.94189453125,233.0,8427.8837890625
wy_shear_anom_15d,87.77721405029297,294.0,7684.47705078125
mjo_amp_15d,87.29192352294922,354.0,7605.2734375
olr_merid_tend10,85.37217712402344,152.0,9289.30859375
v850_bob_anom_15d,84.82023620605469,330.0,6198.76611328125
tt_grad_tend10,84.71524810791016,216.0,4643.9365234375
mjo_cos,83.25081634521484,176.0,3224.4833984375
trough_slp_anom_15d,82.3333740234375,314.0,8690.35546875
wy_shear_tend10,81.62496185302734,208.0,7133.509765625
olr_bob_anom_5d,80.98558807373047,212.0,5726.0224609375
llj_u850_tend10,80.44253540039062,202.0,8218.59765625
rmm1,80.09146881103516,227.0,3482.589599609375
rmm2_tend10,79.73553466796875,187.0,8404.1171875
olr_kar_anom_15d,79.5958480834961,249.0,9397.3359375
ecmwf_mean_mm_14d,77.8897476196289,27.0,3747.3173828125
llj_u850_anom_5d,77.72534942626953,187.0,7764.90625
olr_bob_anom_15d,71.58042907714844,214.0,4135.51708984375
mjo_amp,71.46887969970703,197.0,11541.533203125
olr_eio_tend10,71.34168243408203,153.0,9836.58203125
olr_bob_tend10,69.56684112548828,185.0,3709.889892578125
wet_days_30d,68.61122131347656,332.0,6682.5849609375
reg_rain_7d,66.52340698242188,310.0,5778.10302734375
v850_bob_anom_5d,63.8472900390625,227.0,6856.70751953125
rain_30d,62.866188049316406,219.0,2975.137451171875
olr_kar_tend10,62.37404251098633,217.0,2952.16162109375
v850_bob_tend10,59.75004577636719,165.0,4098.94677734375
mjo_cos_valid_7d,57.42768096923828,93.0,5189.03369140625
mjo_sin_valid_7d,50.97279739379883,134.0,5945.2421875
wet_spell_seen,48.79448318481445,25.0,2940.3095703125
rain_7d,40.651458740234375,115.0,8619.4814453125
ecmwf_mean_mm_28d,39.95454025268555,64.0,7891.662109375
rain_14d,32.22669219970703,176.0,1004.6038818359375
ecmwf_std_mm_21d,28.061588287353516,38.0,5726.005859375
ecmwf_mean_mm_21d,26.80741310119629,31.0,588.4608154296875
ecmwf_std_mm_28d,23.004003524780273,19.0,459.29290771484375
ecmwf_std_mm_14d,21.06264877319336,20.0,655.9217529296875
mjo_inactive,0.0,0.0,0.0
