feature,gain,weight,cover
wet_spell_today,4291.42333984375,56.0,25837.767578125
rain_3d,2681.67138671875,155.0,15261.1337890625
wet_spell_seen,1215.606689453125,10.0,6556.87255859375
days_since_rain,735.811279296875,114.0,11432.5888671875
olr_merid_anom_5d,550.3333129882812,89.0,11768.0263671875
trough_slp_tend10,506.9411926269531,108.0,13874.0419921875
trough_slp_anom_5d,453.74786376953125,97.0,8342.1376953125
rain_1d,405.1192321777344,116.0,11761.97265625
rain_7d_vs_region,386.14178466796875,50.0,11373.919921875
clim_dryday_doy,301.1494445800781,53.0,18823.8359375
doy,300.7406005859375,253.0,8107.18603515625
olr_merid_anom_15d,290.0816955566406,108.0,10711.4677734375
mjo_sin,279.1877136230469,47.0,7394.6455078125
spell_deficit,270.5128173828125,188.0,8510.525390625
olr_eio_anom_15d,252.48684692382812,124.0,6531.31982421875
days_since_wet_spell,232.6177520751953,70.0,5967.04443359375
rmm2,221.86062622070312,131.0,10969.6435546875
ecmwf_mean_mm_7d,210.79974365234375,121.0,18556.345703125
clim_rain_doy,204.535400390625,64.0,14883.3046875
wf_shear_anom_5d,172.90834045410156,105.0,9912.6103515625
reg_dry,170.5275115966797,104.0,11065.544921875
clim_first_cand_doy,170.3339385986328,200.0,10774.302734375
reg_rain_7d,161.6850128173828,77.0,7705.82958984375
tt_grad_anom_15d,158.68385314941406,96.0,9512.484375
wf_shear_anom_15d,156.78652954101562,77.0,5269.5361328125
olr_eio_anom_5d,154.45953369140625,45.0,4910.07275390625
ecmwf_std_mm_7d,150.45672607421875,63.0,9359.2890625
mjo_amp_15d,142.7044677734375,83.0,4620.88916015625
tt_grad_tend10,139.73880004882812,52.0,4053.53125
mjo_angvel10,137.26849365234375,76.0,6172.07958984375
onset_doy_anom,135.7803192138672,168.0,4396.35546875
mjo_amp,128.44967651367188,63.0,7912.9365234375
tt_grad_anom_5d,127.17765808105469,80.0,8324.9580078125
wy_shear_anom_15d,125.9580307006836,55.0,5008.78173828125
wf_shear_tend10,124.1826171875,53.0,6058.0673828125
mjo_phase,119.20790100097656,32.0,4887.35693359375
olr_kar_anom_15d,115.6955337524414,83.0,7816.947265625
llj_u850_anom_5d,112.41905212402344,55.0,8013.2822265625
v850_bob_anom_15d,111.3226089477539,93.0,8036.99853515625
olr_merid_tend10,110.34815979003906,38.0,2290.8916015625
olr_bob_anom_15d,110.07170867919922,56.0,5401.05517578125
llj_u850_anom_15d,103.34740447998047,57.0,9980.1015625
olr_bob_tend10,101.55050659179688,61.0,3894.10009765625
olr_bob_anom_5d,101.1519775390625,43.0,5859.86962890625
trough_slp_anom_15d,100.50849151611328,78.0,9284.3916015625
rmm1_tend10,99.90682220458984,81.0,8520.0068359375
wy_shear_anom_5d,99.90162658691406,69.0,6408.25244140625
wy_shear_tend10,99.11007690429688,60.0,11257.2919921875
rmm1,96.99234771728516,53.0,3549.20849609375
clim_onset_doy,96.28351593017578,84.0,7931.99462890625
llj_u850_tend10,94.75367736816406,54.0,4497.66259765625
rmm2_tend10,85.83771514892578,56.0,3644.155517578125
olr_kar_tend10,84.44371032714844,27.0,1866.3497314453125
mjo_cos,82.84102630615234,35.0,1082.500244140625
ecmwf_mean_mm_21d,81.01183319091797,11.0,2672.8681640625
ecmwf_mean_mm_14d,80.50899505615234,12.0,1799.56298828125
v850_bob_tend10,77.4947738647461,52.0,1522.8660888671875
olr_kar_anom_5d,75.05402374267578,45.0,2232.025390625
ecmwf_mean_mm_28d,73.98003387451172,17.0,6758.59326171875
clim_false_rate,67.60089874267578,47.0,1223.637451171875
olr_eio_tend10,61.27313995361328,51.0,2006.9580078125
rain_7d,56.67768478393555,28.0,3476.516357421875
v850_bob_anom_5d,55.55434799194336,33.0,1146.21435546875
wet_days_30d,50.08369064331055,56.0,3026.298583984375
ecmwf_std_mm_14d,33.64567184448242,9.0,371.0653381347656
rain_30d,24.93408203125,53.0,809.875732421875
rain_14d,17.249910354614258,31.0,344.1275634765625
ecmwf_std_mm_28d,13.433305740356445,17.0,214.7332000732422
ecmwf_std_mm_21d,13.024785041809082,14.0,188.48536682128906
mjo_inactive,0.0,0.0,0.0
