feature,gain,weight,cover
clim_dryday_doy,17271.890625,13.0,63944.45703125
clim_false_rate,6085.1689453125,26.0,58563.08203125
clim_onset_doy,3120.56640625,26.0,43955.40234375
clim_rain_doy,2575.80419921875,13.0,49384.3515625
clim_first_cand_doy,2071.88623046875,35.0,56629.875
wet_spell_seen,1358.9449462890625,4.0,24020.92578125
wet_days_30d,994.2789306640625,26.0,47512.5390625
mjo_phase,941.4558715820312,19.0,20473.46484375
mjo_sin,860.2462768554688,3.0,13006.72265625
onset_doy_anom,829.5361328125,56.0,32488.591796875
doy,828.40673828125,64.0,19852.044921875
olr_merid_anom_5d,734.8286743164062,9.0,28049.326171875
mjo_cos,723.5448608398438,17.0,23647.03125
rmm2,608.3536376953125,29.0,28065.171875
rain_30d,598.9700317382812,11.0,41949.09375
llj_u850_anom_15d,597.2284545898438,39.0,31555.115234375
llj_u850_anom_5d,557.8709106445312,7.0,40328.01171875
rmm1,544.1804809570312,24.0,37435.1484375
olr_eio_anom_5d,526.4218139648438,17.0,43411.703125
wf_shear_anom_5d,475.84368896484375,10.0,57196.16796875
olr_eio_anom_15d,420.10980224609375,27.0,35081.70703125
mjo_amp_15d,403.00732421875,37.0,37162.98828125
rain_7d,399.1463623046875,6.0,48850.015625
olr_merid_anom_15d,384.9897155761719,21.0,29885.80859375
tt_grad_anom_15d,344.0586853027344,12.0,11954.6416015625
rain_1d,331.15484619140625,4.0,73661.9296875
v850_bob_tend10,317.8855895996094,3.0,4042.707275390625
wf_shear_anom_15d,314.38543701171875,25.0,25073.419921875
tt_grad_anom_5d,307.1769104003906,12.0,28844.443359375
rain_3d,302.968505859375,2.0,42652.8125
rmm2_tend10,291.3876037597656,4.0,26518.66015625
olr_merid_tend10,281.8690185546875,8.0,19521.015625
wf_shear_tend10,273.447265625,5.0,7640.2548828125
olr_bob_anom_5d,273.1538391113281,11.0,43059.29296875
v850_bob_anom_5d,266.8341369628906,8.0,19678.142578125
rain_7d_vs_region,266.8267822265625,5.0,36385.9140625
v850_bob_anom_15d,265.1096496582031,31.0,34421.35546875
reg_rain_7d,258.0506591796875,20.0,40103.3125
mjo_angvel10,253.5106201171875,10.0,57780.08203125
rain_14d,251.47332763671875,8.0,29081.130859375
trough_slp_anom_15d,246.62539672851562,16.0,37852.74609375
wy_shear_anom_5d,244.12515258789062,7.0,22456.16796875
llj_u850_tend10,238.49154663085938,5.0,25590.1875
olr_eio_tend10,236.3768768310547,10.0,17626.666015625
olr_kar_anom_15d,228.72518920898438,26.0,37967.4921875
olr_bob_tend10,219.21188354492188,5.0,19199.80859375
wy_shear_tend10,219.03993225097656,6.0,32171.2109375
wy_shear_anom_15d,216.7999725341797,21.0,31610.580078125
rmm1_tend10,209.42999267578125,18.0,28862.4765625
reg_dry,200.75503540039062,15.0,31893.78125
olr_kar_tend10,187.78958129882812,10.0,47112.83203125
mjo_sin_valid_21d,178.93649291992188,2.0,6450.8310546875
tt_grad_tend10,177.06553649902344,7.0,41398.33203125
mjo_amp,164.16624450683594,3.0,1838.44921875
trough_slp_tend10,152.0980987548828,13.0,42713.9453125
olr_kar_anom_5d,150.67166137695312,4.0,4604.6787109375
mjo_cos_valid_21d,147.72006225585938,1.0,2644.817626953125
trough_slp_anom_5d,142.80738830566406,5.0,9007.3984375
olr_bob_anom_15d,131.08529663085938,9.0,14052.43359375
spell_deficit,122.41583251953125,5.0,51127.50390625
wet_spell_today,29.35759735107422,1.0,674.43505859375
mjo_inactive,0.0,0.0,0.0
days_since_wet_spell,0.0,0.0,0.0
days_since_rain,0.0,0.0,0.0
