feature,gain,weight,cover
mjo_cos,581.012939453125,52.0,15758.892578125
olr_merid_anom_5d,547.3672485351562,61.0,9709.3388671875
mjo_phase,496.63311767578125,39.0,12889.9931640625
onset_doy_anom,478.85858154296875,115.0,11725.44140625
olr_merid_tend10,444.5009460449219,65.0,11310.3291015625
clim_dryday_doy,379.4346923828125,27.0,27801.205078125
clim_first_cand_doy,364.58160400390625,170.0,8734.98046875
olr_eio_anom_5d,358.0288391113281,60.0,9889.4541015625
rmm1,356.8096618652344,46.0,7318.12451171875
doy,335.32391357421875,204.0,7741.43212890625
mjo_sin,298.29730224609375,61.0,7213.23681640625
rmm2,290.06536865234375,91.0,8752.546875
tt_grad_anom_5d,275.1426696777344,79.0,5586.46923828125
llj_u850_anom_15d,272.55999755859375,60.0,4595.37060546875
reg_rain_7d,264.1661071777344,96.0,6628.14697265625
clim_false_rate,254.6636199951172,102.0,10087.1318359375
wf_shear_anom_15d,248.30372619628906,101.0,6968.60693359375
olr_kar_anom_15d,236.03697204589844,71.0,6472.14453125
olr_eio_tend10,215.5100860595703,64.0,2925.07958984375
reg_dry,214.7708740234375,77.0,5388.318359375
wf_shear_anom_5d,213.15943908691406,44.0,7442.70166015625
olr_bob_anom_15d,211.63650512695312,53.0,6088.25341796875
wy_shear_anom_15d,211.48751831054688,77.0,4653.1005859375
olr_kar_anom_5d,202.1318817138672,60.0,4612.37548828125
wy_shear_anom_5d,197.42323303222656,48.0,3895.141357421875
rmm1_tend10,194.6414794921875,76.0,6014.87890625
mjo_amp_15d,182.95521545410156,136.0,8023.8125
tt_grad_anom_15d,178.1781005859375,111.0,5339.17724609375
olr_kar_tend10,171.7261505126953,45.0,4904.341796875
rmm2_tend10,169.23138427734375,59.0,6888.03662109375
llj_u850_anom_5d,167.93524169921875,40.0,12795.833984375
olr_merid_anom_15d,160.35047912597656,66.0,3864.743408203125
clim_rain_doy,159.08860778808594,32.0,12704.1796875
ecmwf_std_mm_14d,158.427978515625,30.0,25159.69140625
olr_bob_tend10,154.31130981445312,46.0,5452.41357421875
tt_grad_tend10,152.2687225341797,94.0,6348.81640625
v850_bob_anom_15d,152.25143432617188,88.0,6746.8330078125
trough_slp_anom_15d,151.5587921142578,85.0,8766.7451171875
olr_eio_anom_15d,147.9927520751953,55.0,8016.9755859375
mjo_amp,144.7998504638672,47.0,3346.045654296875
wf_shear_tend10,139.63128662109375,36.0,2901.936767578125
trough_slp_tend10,136.3472900390625,69.0,6877.57177734375
v850_bob_tend10,133.8414764404297,62.0,4522.38720703125
llj_u850_tend10,119.66741180419922,45.0,1727.9925537109375
ecmwf_mean_mm_21d,116.0267562866211,32.0,19888.888671875
rain_7d_vs_region,114.76875305175781,45.0,3720.256591796875
wy_shear_tend10,113.34953308105469,59.0,7758.4892578125
trough_slp_anom_5d,107.49080657958984,34.0,2183.146240234375
v850_bob_anom_5d,104.9224853515625,43.0,10812.9990234375
mjo_angvel10,99.29308319091797,91.0,5015.13232421875
clim_onset_doy,84.11052703857422,104.0,8269.2177734375
wet_spell_seen,79.44685363769531,8.0,1121.768798828125
olr_bob_anom_5d,78.12715148925781,20.0,3493.68017578125
wet_days_30d,75.43225860595703,39.0,8620.00390625
days_since_wet_spell,73.090576171875,75.0,4819.0146484375
ecmwf_mean_mm_7d,66.09597778320312,43.0,6473.47021484375
spell_deficit,65.49956512451172,83.0,9975.9833984375
days_since_rain,63.04771041870117,21.0,20701.34765625
ecmwf_mean_mm_14d,62.34440612792969,29.0,2128.256103515625
rain_30d,57.83270263671875,45.0,2411.156005859375
ecmwf_std_mm_7d,44.30861282348633,12.0,3195.451904296875
ecmwf_std_mm_21d,36.85349655151367,13.0,6739.18310546875
rain_14d,35.06058883666992,39.0,3543.21826171875
ecmwf_mean_mm_28d,24.105125427246094,9.0,677.621826171875
rain_1d,21.311382293701172,4.0,62.41951370239258
rain_7d,18.936004638671875,27.0,630.028076171875
ecmwf_std_mm_28d,18.446115493774414,16.0,209.5054473876953
rain_3d,13.921805381774902,16.0,47.76559066772461
mjo_inactive,0.0,0.0,0.0
wet_spell_today,0.0,0.0,0.0
