feature,gain,weight,cover
clim_dryday_doy,4800.66748046875,29.0,73502.3046875
clim_false_rate,2049.908203125,35.0,62226.8359375
llj_u850_anom_5d,1431.0830078125,19.0,35479.21875
wet_days_30d,1398.334228515625,25.0,81136.1796875
mjo_phase,1379.86669921875,21.0,31450.068359375
clim_first_cand_doy,1338.7020263671875,56.0,38435.2734375
mjo_cos,1294.1654052734375,12.0,40057.875
clim_rain_doy,1077.7001953125,18.0,47870.265625
onset_doy_anom,805.8037719726562,65.0,26131.111328125
doy,742.368408203125,77.0,37082.1171875
wf_shear_anom_5d,719.7631225585938,19.0,17384.677734375
olr_eio_anom_5d,645.9901733398438,24.0,46204.00390625
rmm1,635.1798706054688,33.0,41795.48828125
rmm2,621.93017578125,43.0,41702.24609375
rmm1_tend10,620.9949951171875,26.0,31282.1171875
mjo_amp_15d,541.4368896484375,51.0,48349.04296875
olr_merid_anom_5d,490.87969970703125,15.0,57821.375
reg_rain_7d,490.26947021484375,34.0,39868.98046875
olr_eio_anom_15d,475.64788818359375,39.0,43158.25390625
wf_shear_anom_15d,467.369873046875,42.0,25655.822265625
mjo_angvel10,443.7815246582031,32.0,25094.845703125
llj_u850_anom_15d,441.42608642578125,38.0,20517.291015625
v850_bob_anom_15d,425.1433410644531,35.0,53904.40234375
tt_grad_anom_15d,421.2135009765625,41.0,32173.794921875
olr_bob_anom_15d,406.1675720214844,28.0,34412.99609375
mjo_cos_valid_14d,404.3250732421875,6.0,3081.137451171875
wy_shear_anom_5d,389.6541442871094,15.0,38045.86328125
wy_shear_anom_15d,386.37823486328125,38.0,41982.09375
tt_grad_tend10,373.8203125,24.0,31184.521484375
trough_slp_tend10,371.5288391113281,23.0,30897.189453125
days_since_rain,359.6565856933594,6.0,83130.609375
rmm2_tend10,354.59564208984375,16.0,30379.623046875
clim_onset_doy,318.7779541015625,38.0,47061.921875
trough_slp_anom_5d,317.2986755371094,20.0,46937.25390625
wet_spell_seen,310.2094421386719,7.0,26059.900390625
v850_bob_tend10,308.8147277832031,16.0,40622.28125
mjo_amp,305.2107849121094,11.0,35224.90234375
olr_kar_anom_15d,305.0707702636719,21.0,47087.3671875
olr_bob_anom_5d,303.5753479003906,11.0,73166.578125
olr_merid_anom_15d,297.27001953125,18.0,20531.9453125
olr_kar_anom_5d,294.0995788574219,12.0,9393.16015625
olr_merid_tend10,293.200927734375,7.0,20615.150390625
wf_shear_tend10,280.50201416015625,18.0,26244.611328125
mjo_sin,274.2230224609375,10.0,22302.2265625
olr_bob_tend10,272.0535888671875,11.0,27599.908203125
wy_shear_tend10,266.17120361328125,15.0,19408.62890625
trough_slp_anom_15d,265.04302978515625,39.0,37724.82421875
tt_grad_anom_5d,258.163330078125,28.0,31791.267578125
v850_bob_anom_5d,250.8844757080078,3.0,57158.91796875
llj_u850_tend10,233.59698486328125,12.0,7785.525390625
rain_7d_vs_region,231.5884246826172,10.0,19389.90234375
olr_kar_tend10,228.8610382080078,8.0,45380.64453125
reg_dry,226.51930236816406,22.0,29418.5703125
spell_deficit,220.2630615234375,10.0,5148.2705078125
olr_eio_tend10,217.46104431152344,9.0,17142.5078125
rain_30d,197.5966796875,24.0,17624.751953125
rain_1d,182.23660278320312,4.0,85710.140625
days_since_wet_spell,169.01402282714844,23.0,14989.013671875
rain_14d,114.30758666992188,18.0,30111.58984375
mjo_sin_valid_14d,113.51143646240234,9.0,1984.467041015625
rain_3d,86.7484359741211,4.0,91732.8828125
rain_7d,78.32782745361328,11.0,1281.3817138671875
mjo_inactive,0.0,0.0,0.0
wet_spell_today,0.0,0.0,0.0
