feature,gain,weight,cover
doy,2244.66015625,94.0,44416.73046875
rain_3d,1085.780517578125,30.0,29903.52734375
wf_shear_anom_15d,1066.884521484375,14.0,17308.228515625
days_since_rain,976.8522338867188,13.0,49056.1875
mjo_phase,955.8096923828125,20.0,33041.2578125
clim_onset_doy,925.5535278320312,53.0,44383.92578125
clim_dryday_doy,794.3987426757812,8.0,52817.12890625
wet_spell_today,782.6735229492188,18.0,42614.8984375
clim_false_rate,675.1202392578125,31.0,32828.57421875
wf_shear_anom_5d,496.36724853515625,21.0,30082.76171875
spell_deficit,491.3390808105469,24.0,36339.2734375
clim_first_cand_doy,480.29376220703125,64.0,40007.09765625
rmm2,462.6896667480469,39.0,27433.99609375
rain_7d_vs_region,460.8926696777344,23.0,21302.88671875
rain_1d,448.9186706542969,12.0,77500.796875
llj_u850_anom_5d,440.0541687011719,16.0,37463.140625
olr_eio_anom_5d,428.80340576171875,20.0,30170.88671875
onset_doy_anom,413.5105285644531,57.0,35539.91796875
rmm1,410.2152404785156,28.0,38666.55859375
olr_merid_tend10,404.97955322265625,9.0,43955.64453125
clim_rain_doy,369.0619201660156,15.0,55898.9140625
rain_30d,355.0687255859375,32.0,24935.658203125
wy_shear_anom_5d,342.5375061035156,21.0,27994.283203125
olr_merid_anom_5d,309.46734619140625,20.0,27516.869140625
rmm2_tend10,285.93511962890625,18.0,19341.07421875
olr_eio_anom_15d,283.0306701660156,28.0,46746.88671875
olr_eio_tend10,278.59765625,14.0,18697.8515625
v850_bob_anom_15d,277.6667785644531,46.0,30969.484375
mjo_amp_15d,275.1123046875,54.0,41389.22265625
trough_slp_tend10,263.2491149902344,23.0,16713.337890625
olr_bob_tend10,256.96820068359375,12.0,71062.4296875
tt_grad_anom_15d,242.07345581054688,61.0,16027.7744140625
llj_u850_anom_15d,237.0383758544922,38.0,36516.39453125
wet_days_30d,233.6214141845703,33.0,27796.375
tt_grad_tend10,230.32989501953125,18.0,49075.3515625
olr_kar_anom_5d,227.88082885742188,16.0,18497.314453125
trough_slp_anom_5d,226.0607147216797,9.0,50134.46484375
mjo_angvel10,217.3057861328125,21.0,37524.5703125
olr_merid_anom_15d,217.03684997558594,25.0,14771.4609375
wf_shear_tend10,216.86074829101562,18.0,38239.02734375
olr_bob_anom_15d,216.46141052246094,34.0,22491.505859375
reg_dry,216.13893127441406,25.0,14211.12109375
olr_kar_anom_15d,215.76190185546875,26.0,68391.5859375
trough_slp_anom_15d,201.5963897705078,41.0,40681.1171875
wy_shear_tend10,195.3290557861328,16.0,25992.318359375
mjo_amp,192.95126342773438,17.0,17999.830078125
wy_shear_anom_15d,191.56715393066406,32.0,14786.2685546875
llj_u850_tend10,190.6678924560547,16.0,41472.67578125
days_since_wet_spell,190.1863555908203,29.0,26259.36328125
reg_rain_7d,188.32969665527344,23.0,15943.8203125
tt_grad_anom_5d,182.2581024169922,34.0,36160.1640625
mjo_cos,180.99085998535156,33.0,23524.310546875
olr_kar_tend10,180.13148498535156,12.0,15343.9677734375
olr_bob_anom_5d,175.5970916748047,26.0,41668.6015625
rmm1_tend10,173.73397827148438,22.0,35271.0703125
v850_bob_anom_5d,172.34283447265625,12.0,17637.419921875
mjo_sin,153.58372497558594,11.0,11889.0458984375
v850_bob_tend10,150.4280242919922,18.0,16995.5390625
mjo_cos_valid_21d,143.29348754882812,2.0,48846.984375
rain_14d,98.78199005126953,15.0,47057.515625
rain_7d,65.56742095947266,6.0,20036.740234375
mjo_sin_valid_21d,53.775146484375,1.0,1637.8157958984375
mjo_inactive,0.0,0.0,0.0
wet_spell_seen,0.0,0.0,0.0
