feature,gain,weight,cover
wet_spell_today,7921.6162109375,100.0,49806.03515625
rain_3d,2897.726318359375,470.0,23966.423828125
clim_dryday_doy,812.3850708007812,210.0,25290.669921875
days_since_wet_spell,443.5754699707031,486.0,7341.7041015625
clim_false_rate,442.0575866699219,440.0,12184.9599609375
days_since_rain,427.8505859375,304.0,16925.994140625
olr_merid_anom_5d,422.4717102050781,397.0,8007.630859375
wet_spell_seen,344.6490478515625,72.0,6022.90869140625
rain_1d,322.697509765625,389.0,15313.88671875
clim_rain_doy,285.35491943359375,308.0,21368.638671875
olr_eio_anom_5d,278.7486572265625,429.0,7346.56591796875
spell_deficit,258.1733703613281,590.0,8484.7900390625
trough_slp_anom_5d,225.3400421142578,426.0,6525.13720703125
wf_shear_anom_15d,215.09632873535156,522.0,9146.974609375
doy,212.83604431152344,1062.0,6525.02294921875
onset_doy_anom,172.5807647705078,985.0,7350.36669921875
clim_first_cand_doy,160.58387756347656,978.0,10268.111328125
wf_shear_anom_5d,151.32423400878906,304.0,9240.4189453125
rmm2,151.15643310546875,475.0,6595.54833984375
ecmwf_mean_mm_14d,149.5133514404297,253.0,23971.26953125
mjo_sin,147.42367553710938,390.0,4489.9736328125
llj_u850_anom_15d,147.05645751953125,436.0,4576.30224609375
olr_merid_anom_15d,128.0279083251953,419.0,5383.75634765625
mjo_phase,126.63119506835938,248.0,6328.3291015625
clim_onset_doy,121.4938735961914,769.0,7559.75146484375
rain_7d_vs_region,121.45187377929688,340.0,7273.71240234375
rmm1,118.57003784179688,299.0,4919.9423828125
tt_grad_anom_15d,115.75708770751953,549.0,5517.5595703125
wet_days_30d,108.59748077392578,440.0,9902.005859375
wy_shear_anom_5d,107.53231048583984,435.0,3169.83447265625
trough_slp_tend10,106.1143569946289,384.0,8998.9326171875
olr_merid_tend10,104.63562774658203,246.0,6672.75146484375
mjo_inactive,102.24711608886719,5.0,2609.08349609375
mjo_amp_15d,102.20729064941406,744.0,8366.3359375
olr_eio_anom_15d,100.58262634277344,531.0,5825.96142578125
trough_slp_anom_15d,93.98473358154297,412.0,3649.03271484375
ecmwf_mean_mm_21d,93.67430877685547,117.0,13522.6611328125
tt_grad_anom_5d,93.47589874267578,445.0,6364.70361328125
wy_shear_anom_15d,90.47241973876953,513.0,4202.7646484375
mjo_angvel10,89.50508880615234,348.0,6544.314453125
mjo_cos,89.38094329833984,248.0,6012.66552734375
rmm1_tend10,88.322021484375,518.0,5728.32763671875
tt_grad_tend10,86.5043716430664,370.0,4515.87890625
ecmwf_std_mm_14d,86.30119323730469,118.0,12424.642578125
reg_dry,85.452880859375,486.0,5391.591796875
olr_bob_tend10,83.8648452758789,312.0,4394.12353515625
llj_u850_anom_5d,83.16768646240234,294.0,5102.0986328125
olr_kar_anom_15d,80.565185546875,397.0,5222.39599609375
v850_bob_anom_15d,79.14083099365234,512.0,5391.88818359375
wy_shear_tend10,78.20403289794922,336.0,6520.8720703125
olr_bob_anom_15d,77.6243896484375,325.0,3124.89453125
llj_u850_tend10,75.89815521240234,308.0,3175.013671875
rmm2_tend10,73.26089477539062,255.0,3426.397216796875
olr_kar_anom_5d,70.18498229980469,332.0,2912.1728515625
reg_rain_7d,69.66526794433594,455.0,4114.16552734375
olr_eio_tend10,65.03221893310547,238.0,2791.318115234375
wf_shear_tend10,62.517860412597656,313.0,3336.4033203125
olr_bob_anom_5d,60.32188034057617,262.0,4592.466796875
olr_kar_tend10,54.340370178222656,308.0,4378.6875
rain_30d,54.26175308227539,444.0,3546.847412109375
rain_7d,52.70855712890625,251.0,1548.74755859375
mjo_amp,52.35129928588867,303.0,2306.2822265625
v850_bob_tend10,51.68146514892578,243.0,2566.46142578125
v850_bob_anom_5d,49.03594207763672,289.0,2715.24169921875
mjo_cos_valid_14d,43.45292282104492,133.0,2176.623046875
mjo_sin_valid_14d,40.500370025634766,183.0,3722.628662109375
ecmwf_mean_mm_7d,36.674800872802734,188.0,4184.62060546875
ecmwf_mean_mm_28d,29.27276611328125,91.0,2124.0361328125
rain_14d,26.9106502532959,286.0,878.5559692382812
ecmwf_std_mm_7d,25.19384002685547,127.0,2039.961181640625
ecmwf_std_mm_21d,14.411144256591797,59.0,346.8803405761719
ecmwf_std_mm_28d,13.605708122253418,69.0,337.33740234375
