feature,gain,weight,cover
doy,2372.566162109375,111.0,45796.01953125
clim_onset_doy,1071.048095703125,61.0,45260.62109375
rain_3d,797.8067626953125,29.0,38096.078125
days_since_rain,627.6080932617188,13.0,50038.80859375
mjo_phase,571.4976196289062,14.0,45564.15234375
clim_dryday_doy,559.7367553710938,8.0,71820.9921875
clim_first_cand_doy,521.2301025390625,77.0,36372.72265625
onset_doy_anom,517.9884033203125,55.0,42794.77734375
rain_7d_vs_region,490.4413757324219,14.0,33089.62890625
clim_rain_doy,437.37188720703125,11.0,59208.33984375
wet_spell_today,425.28228759765625,19.0,50216.984375
mjo_cos,386.39013671875,30.0,30332.9921875
llj_u850_anom_5d,384.1737060546875,12.0,32846.359375
clim_false_rate,372.0840148925781,44.0,23903.0078125
wf_shear_anom_15d,348.7077331542969,26.0,35383.48046875
rain_1d,346.30853271484375,9.0,107516.28125
wet_days_30d,345.7495422363281,32.0,34610.94921875
rmm1,345.2281799316406,30.0,47894.58203125
olr_eio_anom_5d,343.39544677734375,15.0,50460.140625
mjo_inactive,306.18231201171875,1.0,8818.8388671875
olr_merid_anom_5d,296.2861328125,10.0,40229.64453125
rain_30d,289.2612609863281,38.0,31104.005859375
olr_merid_tend10,283.101806640625,14.0,44374.0234375
spell_deficit,281.5160217285156,26.0,28667.44921875
rmm2_tend10,279.7435607910156,19.0,45245.62890625
llj_u850_anom_15d,274.8782958984375,37.0,31702.962890625
wf_shear_anom_5d,272.51019287109375,21.0,28864.384765625
v850_bob_anom_15d,264.93878173828125,57.0,35894.171875
wy_shear_anom_5d,248.83506774902344,26.0,29204.9296875
trough_slp_tend10,245.83013916015625,17.0,27108.765625
trough_slp_anom_5d,243.3343505859375,17.0,31922.26171875
tt_grad_tend10,243.2030487060547,19.0,44699.91015625
rmm1_tend10,235.51307678222656,36.0,23811.154296875
rmm2,228.98838806152344,28.0,31015.015625
tt_grad_anom_15d,223.17958068847656,67.0,18372.197265625
olr_merid_anom_15d,222.04080200195312,23.0,23768.90234375
reg_dry,221.32069396972656,36.0,21649.056640625
wy_shear_anom_15d,219.1543426513672,51.0,17982.560546875
mjo_amp,218.38540649414062,11.0,14914.59765625
reg_rain_7d,215.9794158935547,19.0,22421.9765625
mjo_amp_15d,208.82237243652344,48.0,30751.826171875
olr_eio_tend10,205.19659423828125,8.0,6560.26123046875
mjo_sin,204.63534545898438,14.0,29288.849609375
olr_bob_tend10,203.5546112060547,9.0,23575.5390625
olr_kar_anom_15d,202.3791046142578,39.0,48284.12109375
tt_grad_anom_5d,200.99072265625,26.0,39203.8046875
olr_bob_anom_15d,195.98443603515625,24.0,16268.1923828125
days_since_wet_spell,194.22750854492188,27.0,22493.99609375
wet_spell_seen,170.1863250732422,5.0,10505.1533203125
v850_bob_tend10,170.13211059570312,10.0,30864.1875
mjo_angvel10,167.51039123535156,37.0,27313.96875
olr_bob_anom_5d,165.49383544921875,19.0,60396.42578125
olr_eio_anom_15d,162.12086486816406,26.0,45934.34765625
olr_kar_anom_5d,152.9950714111328,10.0,41626.80859375
trough_slp_anom_15d,145.46359252929688,32.0,62892.71484375
v850_bob_anom_5d,144.378662109375,9.0,5730.83740234375
rain_14d,140.13951110839844,12.0,35440.11328125
mjo_cos_valid_28d,128.34963989257812,9.0,17270.375
wf_shear_tend10,122.2654800415039,16.0,21618.6171875
wy_shear_tend10,117.37206268310547,13.0,27700.99609375
olr_kar_tend10,115.15618133544922,13.0,27311.00390625
llj_u850_tend10,82.05781555175781,5.0,24757.734375
mjo_sin_valid_28d,67.79219818115234,8.0,29144.115234375
rain_7d,59.02153778076172,4.0,53049.09375
