feature,gain,weight,cover
clim_dryday_doy,9049.2666015625,26.0,80868.546875
clim_rain_doy,7282.2236328125,40.0,53481.6328125
clim_onset_doy,4000.494384765625,199.0,25677.181640625
clim_false_rate,2310.57861328125,106.0,40926.8046875
clim_first_cand_doy,1230.9598388671875,180.0,34147.35546875
doy,1057.864013671875,272.0,19354.65234375
mjo_cos,604.2852172851562,60.0,18525.490234375
wet_days_30d,566.6754150390625,125.0,19079.4453125
rmm1,513.81591796875,136.0,13299.89453125
mjo_phase,447.8630065917969,42.0,6633.3779296875
rain_30d,419.1667785644531,118.0,21626.666015625
onset_doy_anom,418.3788757324219,203.0,22605.705078125
llj_u850_anom_5d,334.1751403808594,52.0,12139.287109375
llj_u850_anom_15d,323.46173095703125,130.0,10757.330078125
reg_rain_7d,297.4582824707031,86.0,25344.76953125
olr_eio_anom_15d,265.3531494140625,114.0,16743.4453125
olr_eio_anom_5d,264.9068908691406,53.0,15904.7421875
rain_14d,261.3616638183594,45.0,13090.119140625
rain_1d,261.0715026855469,14.0,31756.283203125
olr_kar_anom_15d,257.656005859375,108.0,18345.693359375
olr_merid_anom_5d,248.818115234375,39.0,19592.607421875
rmm2,241.4263153076172,88.0,20303.17578125
mjo_sin,239.17393493652344,47.0,12673.595703125
olr_merid_anom_15d,231.03604125976562,57.0,8421.623046875
rmm2_tend10,228.74342346191406,54.0,13847.4853515625
v850_bob_anom_15d,226.9187774658203,108.0,19534.470703125
mjo_angvel10,226.26441955566406,66.0,26496.951171875
wy_shear_tend10,224.70681762695312,52.0,9610.73046875
wf_shear_anom_15d,223.80841064453125,100.0,18173.796875
olr_merid_tend10,218.4346466064453,27.0,9560.59375
trough_slp_anom_15d,206.4300994873047,140.0,12844.8076171875
rmm1_tend10,205.27325439453125,113.0,13902.755859375
mjo_amp_15d,204.6675262451172,102.0,8580.6435546875
tt_grad_anom_15d,198.6858673095703,97.0,8589.4736328125
tt_grad_anom_5d,191.206298828125,39.0,11406.712890625
trough_slp_tend10,189.1769256591797,37.0,12572.390625
wf_shear_tend10,188.4771728515625,21.0,5378.48291015625
wf_shear_anom_5d,179.25596618652344,31.0,23412.427734375
tt_grad_tend10,178.19590759277344,35.0,7431.35693359375
reg_dry,169.23348999023438,45.0,4080.76953125
wy_shear_anom_5d,168.60858154296875,47.0,8640.603515625
rain_3d,168.35333251953125,16.0,21728.19140625
wy_shear_anom_15d,166.53359985351562,132.0,11979.6845703125
olr_bob_anom_5d,165.155029296875,45.0,25650.498046875
rain_7d,156.5198211669922,27.0,12061.091796875
olr_bob_anom_15d,155.17860412597656,56.0,10186.2900390625
v850_bob_tend10,150.3997802734375,28.0,19777.193359375
trough_slp_anom_5d,148.9918670654297,28.0,3671.221435546875
mjo_amp,146.43157958984375,45.0,4110.52294921875
olr_kar_tend10,141.3938751220703,48.0,22357.90625
olr_bob_tend10,135.16319274902344,31.0,10054.87109375
rain_7d_vs_region,134.23727416992188,51.0,22746.359375
olr_eio_tend10,133.7923583984375,40.0,12831.6826171875
olr_kar_anom_5d,125.3731460571289,25.0,5883.0556640625
wet_spell_seen,116.2158432006836,6.0,3663.707763671875
v850_bob_anom_5d,113.07218933105469,28.0,18921.57421875
llj_u850_tend10,107.72278594970703,24.0,4297.09716796875
mjo_sin_valid_28d,103.78807067871094,9.0,53433.6953125
mjo_cos_valid_28d,95.3323745727539,8.0,1010.4935302734375
spell_deficit,74.5982437133789,28.0,1320.0159912109375
days_since_rain,62.87141799926758,13.0,8383.90234375
days_since_wet_spell,58.614471435546875,32.0,12706.3466796875
wet_spell_today,32.01946258544922,1.0,252.1053924560547
mjo_inactive,0.0,0.0,0.0
